Species,Genus,Family,Life Form,HimLL,HimUL,APLL,APUL,BHLL,BHUL,NPLL,NPUL,UKLL,UKUL,HPLL,HPUL,JKLL,JKUL
Acer_pectinatum,Acer,Sapindaceae,T,2400,3800,3000,3700,2400,3500,2700,3800,2743,3201,,,,
Acer_pentapomicum,Acer,Sapindaceae,T,2000,2500,,,,,,,NA,NA,NA,NA,2000,2500
Acer_pictum,Acer,Sapindaceae,T,1829,2743,,,,,,,1829,2743,,,,
Acer_sikkimense,Acer,Sapindaceae,T,1000,3000,1500,2500,1000,3000,1800,2100,,,,,,
Acer_stachyophyllum,Acer,Sapindaceae,T,1400,3500,,,1400,3500,2700,3000,,,,,,
Acer_sterculiaceum,Acer,Sapindaceae,T,1500,3200,1500,1800,2200,3200,2200,3200,2000,3100,2000,3100,2000,2000
Achillea_alpina,Achillea,Asteraceae,H,1200,1900,NA,NA,,,1200,1900,,,,,,
Achyranthes_aspera,Achyranthes,Amaranthaceae,H,100,2900,100,1500,100,2900,100,2900,300,2200,400,2000,400,2000
Achyranthes_bidentata,Achyranthes,Amaranthaceae,H,100,2500,100,2500,100,2400,1200,2100,300,2500,1200,2500,1600,2500
Achyrospermum_densiflorum,Achyrospermum,Lamiaceae,H,100,3500,100,3500,100,1200,100,1200,,,,,,
Achyrospermum_wallichianum,Achyrospermum,Lamiaceae,H,610,1520,,,610,1520,,,,,,,,
Acilepis_aspera,Acilepis,Asteraceae,H,,,,,,,NA,NA,,,,,,
Acilepis_attenuata,Acilepis,Asteraceae,H,100,1500,100,1500,100,1200,,,,,,,,
Acilepis_divergens,Acilepis,Asteraceae,H,100,,,,,,100,300,300,400,,,,
Acilepis_saligna,Acilepis,Asteraceae,H,100,1500,100,1500,100,1500,600,1500,,,,,,
Acilepis_spirei,Acilepis,Asteraceae,H,100,1800,,,600,1800,,,,,,,,
Acmella_calva,Acmella,Asteraceae,H,100,2000,,,600,2000,600,2000,,,,,,
Acmella_paniculata,Acmella,Asteraceae,H,100,2300,100,1500,100,2300,100,2300,300,2300,400,1200,,
Acomastylis_elata,Acomastylis,Rosaceae,H,3000,4000,,,3900,4700,3600,4200,3000,4000,2000,3900,3000,3500
Acomastylis_macrosepala,Acomastylis,Rosaceae,H,4100,4570,,,4100,4570,,,,,,,,
Acomastylis_sikkimensis,Acomastylis,Rosaceae,H,3000,4200,,,3000,4000,3000,4200,,,,,,
Aconitum_alpinonepalense,Aconitum,Ranunculaceae,H,4300,4300,,,,,4300,4300,,,,,,
Aconitum_amplexicaule,Aconitum,Ranunculaceae,H,3800,4200,,,,,3800,4200,,,,,,
Aconitum_angulatum,Aconitum,Ranunculaceae,H,3800,4200,,,,,3800,4200,,,,,,
Aconitum_assamicum,Aconitum,Ranunculaceae,H,3900,4300,3900,4300,,,,,,,,,,
Aconitum_bhedingense,Aconitum,Ranunculaceae,H,3000,3900,,,,,3000,3900,,,,,,
Aconitum_bulbilliferum,Aconitum,Ranunculaceae,H,3350,3960,,,3350,3960,,,,,,,,
Aconitum_chasmanthum,Aconitum,Ranunculaceae,H,2900,3400,NA,NA,,,,,,,NA,NA,2900,3400
Aconitum_dhwojii,Aconitum,Ranunculaceae,H,4500,4800,,,,,4500,4800,,,,,,
Aconitum_dissectum,Aconitum,Ranunculaceae,H,3300,4300,,,3800,3800,3300,4300,,,,,,
Aconitum_elwesii,Aconitum,Ranunculaceae,H,2440,3000,,,2440,3000,3000,3000,,,,,,
Aconitum_ferox,Aconitum,Ranunculaceae,H,2100,5000,3000,5000,2100,3800,2100,3800,3000,4115,3000,4115,,
Aconitum_fletcherianum,Aconitum,Ranunculaceae,H,3000,4720,3000,4500,4110,4720,,,,,,,,
Aconitum_funiculare,Aconitum,Ranunculaceae,H,3275,3275,,,3275,3275,,,,,,,,
Aconitum_gymnandrum,Aconitum,Ranunculaceae,H,4265,4880,,,4265,4880,,,,,,,,
Aconitum_heterophylloides,Aconitum,Ranunculaceae,H,3000,4500,,,3000,4500,3600,4500,3600,4500,3600,4500,3600,3600
Aconitum_heterophyllum,Aconitum,Ranunculaceae,H,2300,4200,,,3000,3500,3200,3700,3000,3963,2800,4200,2300,2900
Aconitum_hicksii,Aconitum,Ranunculaceae,H,4260,4730,,,4260,4730,,,,,,,,
Aconitum_laeve,Aconitum,Ranunculaceae,H,2000,4000,2000,4000,,,2900,2900,3000,3000,2600,4000,2850,2950
Aconitum_lethale,Aconitum,Ranunculaceae,H,1800,4420,2000,3000,2740,4420,1800,4200,3000,3800,3000,3800,,
Aconitum_ludlowii,Aconitum,Ranunculaceae,H,3650,3650,,,3650,3650,,,,,,,,
Aconitum_moschatum,Aconitum,Ranunculaceae,H,,,,,,,,,,,,,NA,NA
Aconitum_nagarum,Aconitum,Ranunculaceae,H,2000,4500,2000,4500,,,,,,,,,,
Aconitum_nakaoi,Aconitum,Ranunculaceae,H,3800,4400,,,3800,4400,,,,,,,,
Aconitum_naviculare,Aconitum,Ranunculaceae,H,3960,4900,3960,4570,3960,4570,4900,4900,,,,,,
Aconitum_novoluridum,Aconitum,Ranunculaceae,H,2000,5000,2000,3500,3000,4570,4200,5000,,,,,,
Aconitum_orochryseum,Aconitum,Ranunculaceae,H,3600,4900,,,3950,4720,3600,4900,,,,,,
Aconitum_palmatum,Aconitum,Ranunculaceae,H,1500,4000,1500,4000,2750,3700,2750,3700,2750,3700,,,,
Aconitum_poluninii,Aconitum,Ranunculaceae,H,3800,3800,,,,,3800,3800,,,,,,
Aconitum_pulchellum,Aconitum,Ranunculaceae,H,4200,4200,,,NA,NA,4200,4200,,,,,,
Aconitum_rotundifolium,Aconitum,Ranunculaceae,H,2700,4400,,,,,2700,4400,,,NA,NA,NA,NA
Aconitum_scaposum,Aconitum,Ranunculaceae,H,2500,3200,,,2740,3050,2500,3200,,,,,,
Aconitum_sherriffii,Aconitum,Ranunculaceae,H,4220,4220,,,4220,4220,,,,,,,,
Aconitum_soongaricum,Aconitum,Ranunculaceae,H,,,,,,,,,,,,,NA,NA
Aconitum_staintonii,Aconitum,Ranunculaceae,H,3500,4100,,,,,3500,4100,,,,,,
Aconitum_tabatae,Aconitum,Ranunculaceae,H,3800,4800,,,,,3800,4800,,,,,,
Aconitum_violaceum,Aconitum,Ranunculaceae,H,3045,4700,,,,,4400,4400,4200,4700,3500,4500,3045,3500
Aconitum_williamsii,Aconitum,Ranunculaceae,H,3300,3300,,,,,3300,3300,,,,,,
Acorus_calamus,Acorus,Acoraceae,H,100,3000,100,1000,100,2800,1700,2300,300,2000,1100,3000,400,2000
Acrachne_racemosa,Acrachne,Poaceae,H,100,800,,,,,,,300,800,400,800,400,800
Acranthera_tomentosa,Acranthera,Rubiaceae,S,,,NA,NA,,,,,,,,,,
Acriopsis_liliifolia,Acriopsis,Orchidaceae,H,1000,1800,,,1000,1800,,,,,,,,
Acrocarpus_fraxinifolius,Acrocarpus,Fabaceae,T,100,1500,,,100,1500,100,300,,,,,,
Acroceras_zizanioides,Acroceras,Poaceae,H,400,1200,500,1200,400,400,,,,,,,,
Acrochaene_punctata,Acrochaene,Orchidaceae,H,1000,2200,1000,1500,1200,2200,,,,,,,,
Acroglochin_persicarioides,Acroglochin,Amaranthaceae,H,1200,3000,,,NA,NA,2100,3000,2800,2800,1200,2000,,
Acronema_bellum,Acronema,Apiaceae,H,3000,4400,,,3000,4400,4000,4100,,,,,,
Acronema_dyssimetriradiata,Acronema,Apiaceae,H,4000,4300,,,,,4000,4300,,,,,,
Acronema_graminifolium,Acronema,Apiaceae,H,2700,3600,,,2700,3600,,,,,,,,
Acronema_handelii,Acronema,Apiaceae,H,3800,4000,,,NA,NA,3800,4000,,,,,,
Acronema_hookeri,Acronema,Apiaceae,H,2150,4000,2150,3650,2150,3650,3100,4000,,,,,,
Acronema_johrianum,Acronema,Apiaceae,H,3700,4300,,,,,3700,4300,,,,,,
Acronema_minus,Acronema,Apiaceae,H,3800,3800,,,3800,3800,3800,3800,,,,,,
Acronema_muscicola,Acronema,Apiaceae,H,,,,,,,,,NA,NA,,,,
Acronema_nervosum,Acronema,Apiaceae,H,2000,3750,,,3000,3700,2000,3750,,,,,,
Acronema_paniculatum,Acronema,Apiaceae,H,3500,4200,NA,NA,NA,NA,3500,4200,,,,,,
Acronema_pseudotenera,Acronema,Apiaceae,H,4200,5000,,,4200,5000,,,,,,,,
Acronema_sichuanense,Acronema,Apiaceae,H,3900,4900,,,3900,4900,,,,,,,,
Acronema_tenerum,Acronema,Apiaceae,H,500,5000,500,1500,3000,3800,2800,4000,2300,5000,2300,5000,,
Acronychia_pedunculata,Acronychia,Rutaceae,T,100,1500,800,1300,100,1500,,,NA,NA,,,,
Actaea_cimicifuga,Actaea,Ranunculaceae,H,2100,4000,,,2400,3660,3000,4000,3000,4000,2700,4000,2100,3200
Actaea_spicata,Actaea,Ranunculaceae,H,2400,3700,2900,3100,2900,3100,2500,3700,2743,3353,2400,3600,2653,2740
Actaea_vaginata,Actaea,Ranunculaceae,H,2895,4000,,,2895,4000,,,,,,,,
Actephila_excelsa,Actephila,Phyllanthaceae,S,100,1200,100,1200,,,,,,,,,,
Actinidia_callosa,Actinidia,Actinidiaceae,WC,609,3000,1000,2500,1300,3000,1300,3000,609,1829,,,,
Actinidia_strigosa,Actinidia,Actinidiaceae,WC,1800,3000,,,1800,3000,2400,3000,,,,,,
Actinocarya_acaulis,Actinocarya,Boraginaceae,H,4870,5330,,,4870,5330,,,,,,,,
Actinodaphne_gullavara,Actinodaphne,Lauraceae,T,100,1000,,,100,1000,100,600,,,,,,
Actinodaphne_longipes,Actinodaphne,Lauraceae,T,1700,2200,,,1700,2200,1700,2200,,,,,,
Actinodaphne_obovata,Actinodaphne,Lauraceae,T,100,1400,100,1400,100,1400,100,450,,,,,,
Actinodaphne_reticulata,Actinodaphne,Lauraceae,T,100,2000,,,100,2000,100,2000,,,,,,
Actinodaphne_sikkimensis,Actinodaphne,Lauraceae,T,900,2200,,,900,2200,1700,1700,,,,,,
Actinoscirpus_grossus,Actinoscirpus,Cyperaceae,H,100,900,,,100,900,100,900,300,900,,,,
Actinostemma_tenerum,Actinostemma,Cucurbitaceae,HC,550,1200,550,1200,,,,,,,,,,
Adenanthera_pavonina,Adenanthera,Fabaceae,T,100,1200,,,1200,1200,,,,,,,,
Adenia_cardiophylla,Adenia,Passifloraceae,HC,700,1000,,,700,1000,,,,,,,,
Adenia_cordifolia,Adenia,Passifloraceae,HC,700,2000,700,2000,,,,,,,,,,
Adenia_trilobata,Adenia,Passifloraceae,HC,600,2000,700,2000,600,1000,,,,,,,,
Adenocaulon_himalaicum,Adenocaulon,Asteraceae,H,2000,4000,,,2300,2800,2000,4000,2500,3280,2000,3000,,
Adenocaulon_nepalense,Adenocaulon,Asteraceae,H,2550,3960,,,3050,3960,2550,3750,,,,,,
Adenophora_himalayana,Adenophora,Campanulaceae,H,,,,,,,NA,NA,NA,NA,,,,
Adenophora_khasiana,Adenophora,Campanulaceae,H,1200,2591,1200,1800,1981,2591,,,NA,NA,,,,
Adenosma_indianum,Adenosma,Scrophulariaceae,H,100,1500,100,1500,100,300,100,200,300,200,,,,
Adenostemma_angustifolium,Adenostemma,Asteraceae,H,100,150,,,100,300,,,,,,,,
Adenostemma_suffruticosum,Adenostemma,Asteraceae,S,,,,,NA,NA,,,,,NA,NA,,
Adenostemma_viscosum,Adenostemma,Asteraceae,H,100,1524,,,,,NA,NA,1524,1524,1200,1500,,
Adhatoda_leptantha,Adhatoda,Acanthaceae,H,100,1000,,,,,,,300,1000,,,400,1000
Adinandra_griffithii,Adinandra,Pentaphylacaceae,T,1200,1800,1200,1800,,,,,,,,,,
Adonis_chrysocyathus,Adonis,Ranunculaceae,H,3000,4725,,,,,3600,3600,4573,4725,3000,4000,3800,4000
Adonis_davidii,Adonis,Ranunculaceae,H,2500,4110,,,2500,4110,,,,,,,,
Adonis_nepalensis,Adonis,Ranunculaceae,H,3800,4570,,,4570,4570,3800,4500,,,,,,
Aeginetia_indica,Aeginetia,Scrophulariaceae,H,100,2800,1000,1500,100,1800,600,1700,300,2800,400,1200,,
Aeginetia_pedunculata,Aeginetia,Scrophulariaceae,H,100,1500,1000,1500,100,150,,,,,,,,
Aegle_marmelos,Aegle,Rutaceae,T,100,1500,100,1000,100,1100,600,1100,300,1500,400,1000,400,1500
Aerides_falcata,Aerides,Orchidaceae,E,1000,1800,1000,1800,,,,,,,,,,
Aerides_multiflora,Aerides,Orchidaceae,E,100,2000,100,1200,100,1200,100,1100,300,2000,400,1000,,
Aerides_odorata,Aerides,Orchidaceae,E,100,1200,100,1000,100,1200,100,1200,300,1200,,,,
Aerides_roseum,Aerides,Orchidaceae,E,300,1600,300,1600,300,1600,,,,,,,,
Aerva_lanata,Aerva,Amaranthaceae,H,100,100,,,,,,,,,,,400,400
Aerva_sanguinolenta,Aerva,Amaranthaceae,H,100,1800,100,1600,100,1600,100,1400,300,1524,400,1800,400,1150
Aeschynanthus_acuminatus,Aeschynanthus,Gesneriaceae,WC,100,2300,100,1000,100,2300,100,300,,,,,,
Aeschynanthus_bracteatus,Aeschynanthus,Gesneriaceae,S,900,3200,1000,1800,900,3200,,,,,,,,
Aeschynanthus_chiritoides,Aeschynanthus,Gesneriaceae,HC,600,1500,1000,1500,600,1050,,,,,,,,
Aeschynanthus_hookeri,Aeschynanthus,Gesneriaceae,S,1600,2700,,,1600,2700,1600,2700,,,,,,
Aeschynanthus_kingii,Aeschynanthus,Gesneriaceae,S,1500,1500,,,1500,1500,,,,,,,,
Aeschynanthus_levipes,Aeschynanthus,Gesneriaceae,S,,,NA,NA,,,,,,,,,,
Aeschynanthus_linearifolius,Aeschynanthus,Gesneriaceae,HC,2500,2800,2500,2800,,,,,,,,,,
Aeschynanthus_masoniae,Aeschynanthus,Gesneriaceae,S,,,NA,NA,,,,,,,,,,
Aeschynanthus_micranthus,Aeschynanthus,Gesneriaceae,WC,100,1200,100,1200,100,390,,,,,,,,
Aeschynanthus_monetarius,Aeschynanthus,Gesneriaceae,WC,200,1000,200,1000,,,,,,,,,,
Aeschynanthus_novogracilis,Aeschynanthus,Gesneriaceae,S,400,1500,,,400,1500,,,,,,,,
Aeschynanthus_parasiticus,Aeschynanthus,Gesneriaceae,HC,100,1800,1000,1800,750,1200,1200,1800,,,,,,
Aeschynanthus_parviflorus,Aeschynanthus,Gesneriaceae,HC,500,2100,500,1500,1200,2100,1200,2100,1300,1300,,,,
Aeschynanthus_philippinensis,Aeschynanthus,Gesneriaceae,HC,500,1500,500,1500,,,,,,,,,,
Aeschynanthus_stenosepalus,Aeschynanthus,Gesneriaceae,S,,,NA,NA,,,,,,,,,,
Aeschynanthus_superbus,Aeschynanthus,Gesneriaceae,WC,100,1200,100,1000,760,1200,,,,,,,,
Aeschynomene_indica,Aeschynomene,Fabaceae,H,100,2000,100,300,100,300,100,1300,300,1219,400,2000,400,1700
Aesculus_assamica,Aesculus,Sapindaceae,T,100,2000,100,800,100,2000,,,NA,NA,,,,
Aesculus_indica,Aesculus,Sapindaceae,T,1500,3000,,,1800,3000,1900,2400,1500,3000,1500,2800,1700,2400
Aganope_polystachya,Aganope,Fabaceae,WC,100,1500,100,1500,100,1200,,,,,,,,
Aganosma_blumei,Aganosma,Apocynaceae,WC,100,,,,,,,,300,400,,,,
Aganosma_dichotoma,Aganosma,Apocynaceae,WC,100,,,,100,300,,,,,,,,
Aganosma_gracilis,Aganosma,Apocynaceae,WC,100,1500,,,100,1500,,,,,,,,
Agapetes_aborensis,Agapetes,Ericaceae,WC,700,700,700,700,,,,,,,,,,
Agapetes_acuminata,Agapetes,Ericaceae,WC,900,1200,900,1200,,,,,,,,,,
Agapetes_angulata,Agapetes,Ericaceae,WC,1200,2000,1200,2000,,,,,,,,,,
Agapetes_anonyma,Agapetes,Ericaceae,WC,2100,2700,2100,2700,,,,,,,,,,
Agapetes_atrosanguinea,Agapetes,Ericaceae,WC,1800,1800,1800,1800,,,,,,,,,,
Agapetes_auriculata,Agapetes,Ericaceae,WC,1200,1520,,,1200,1520,1200,1520,,,,,,
Agapetes_bhutanica,Agapetes,Ericaceae,WC,150,500,,,150,500,,,,,,,,
Agapetes_burmanica,Agapetes,Ericaceae,WC,300,400,300,400,,,,,,,,,,
Agapetes_buxifolia,Agapetes,Ericaceae,WC,100,1500,100,1500,,,,,,,,,,
Agapetes_discolor,Agapetes,Ericaceae,WC,1200,1600,1200,1600,1200,1600,,,,,,,,
Agapetes_forrestii,Agapetes,Ericaceae,WC,1800,2500,1800,2500,,,,,,,,,,
Agapetes_griffithii,Agapetes,Ericaceae,WC,,,NA,NA,,,,,,,,,,
Agapetes_hookeri,Agapetes,Ericaceae,WC,1830,2540,,,1830,2540,1830,2540,,,,,,
Agapetes_hyalocheilos,Agapetes,Ericaceae,WC,,,NA,NA,,,,,,,,,,
Agapetes_incurvata,Agapetes,Ericaceae,WC,1300,2900,1300,1600,2000,2900,2000,2900,,,,,,
Agapetes_interdicta,Agapetes,Ericaceae,WC,2100,2400,2100,2400,,,,,,,,,,
Agapetes_kanjilali,Agapetes,Ericaceae,WC,100,,100,300,,,,,,,,,,
Agapetes_linearifolia,Agapetes,Ericaceae,WC,,,NA,NA,,,,,,,,,,
Agapetes_macrantha,Agapetes,Ericaceae,WC,1500,2000,1500,2000,,,,,,,,,,
Agapetes_marginata,Agapetes,Ericaceae,WC,1100,1500,1100,1500,,,,,,,,,,
Agapetes_miniata,Agapetes,Ericaceae,WC,1050,1050,1050,1050,,,,,,,,,,
Agapetes_muscorum,Agapetes,Ericaceae,WC,2700,2700,2700,2700,,,,,,,,,,
Agapetes_nutans,Agapetes,Ericaceae,WC,1300,2200,1300,2200,,,,,,,,,,
Agapetes_nuttallii,Agapetes,Ericaceae,WC,1200,2000,1200,1500,2000,2000,,,,,,,,
Agapetes_obovata,Agapetes,Ericaceae,WC,1000,2000,1000,2000,,,,,,,,,,
Agapetes_praestigiosa,Agapetes,Ericaceae,WC,,,NA,NA,,,,,,,,,,
Agapetes_refracta,Agapetes,Ericaceae,WC,1620,1620,1620,1620,,,,,,,,,,
Agapetes_salicifolia,Agapetes,Ericaceae,WC,,,NA,NA,,,,,,,,,,
Agapetes_saligna,Agapetes,Ericaceae,WC,460,2000,460,2000,460,2000,1000,1000,,,,,,
Agapetes_serpens,Agapetes,Ericaceae,WC,900,3000,900,2400,1200,3000,1200,3000,,,,,,
Agapetes_setigera,Agapetes,Ericaceae,WC,700,1500,700,1500,,,,,,,,,,
Agapetes_sikkimensis,Agapetes,Ericaceae,WC,900,1520,900,1500,900,1520,1000,1000,,,,,,
Agapetes_similis,Agapetes,Ericaceae,WC,1500,2400,1500,2400,,,,,,,,,,
Agapetes_smithiana,Agapetes,Ericaceae,S,2000,2800,,,2100,2700,2000,2800,,,,,,
Agapetes_spissa,Agapetes,Ericaceae,WC,1800,2500,1800,2500,,,,,,,,,,
Agapetes_subansirica,Agapetes,Ericaceae,WC,,,NA,NA,,,,,,,,,,
Agapetes_variegata,Agapetes,Ericaceae,WC,1070,2000,1300,2000,1070,1650,,,,,,,,
Aglaia_chittagonga,Aglaia,Meliaceae,T,600,1300,600,1300,600,1300,,,,,,,,
Aglaia_edulis,Aglaia,Meliaceae,T,100,1400,1200,1400,1200,1400,,,,,,,,
Aglaia_hiernii,Aglaia,Meliaceae,T,300,600,300,600,,,,,,,,,,
Aglaia_korthalsii,Aglaia,Meliaceae,T,550,900,,,550,900,,,,,,,,
Aglaia_lawii,Aglaia,Meliaceae,T,100,1450,,,900,1450,,,,,,,,
Aglaia_perviridis,Aglaia,Meliaceae,T,100,1800,1200,1600,760,1800,,,,,,,,
Aglaia_spectabilis,Aglaia,Meliaceae,T,100,1000,100,1000,100,1000,,,,,,,,
Aglaonema_hookerianum,Aglaonema,Araceae,H,400,1200,400,1200,1000,1000,,,,,,,,
Agrimonia_aitchisonii,Agrimonia,Rosaceae,H,2000,3000,,,,,,,2000,2500,2500,3000,,
Agrimonia_pilosa,Agrimonia,Rosaceae,H,1000,3800,1500,2800,1000,3800,1000,3000,1000,3000,1500,3600,1700,2300
Agropyron_thomsonii,Agropyron,Poaceae,H,4200,4200,,,,,,,4200,4200,,,,
Agrostis_brachiata,Agrostis,Poaceae,H,600,2700,,,600,2700,600,2700,,,,,,
Agrostis_gigantea,Agrostis,Poaceae,H,2900,4000,,,2900,3700,2900,4000,,,NA,NA,,
Agrostis_griffithiana,Agrostis,Poaceae,H,1500,2000,1500,2000,,,,,NA,NA,,,,
Agrostis_hookeriana,Agrostis,Poaceae,H,3050,5000,,,3050,4570,3500,5000,,,,,,
Agrostis_inaequiglumis,Agrostis,Poaceae,H,3350,4880,,,3350,4880,4300,4400,,,,,,
Agrostis_micrantha,Agrostis,Poaceae,H,100,3660,800,2000,1600,3660,2400,3500,2400,3500,2400,3500,2400,2400
Agrostis_munroana,Agrostis,Poaceae,H,1800,4900,,,,,4900,4900,4200,4200,1800,3600,,
Agrostis_nervosa,Agrostis,Poaceae,H,2000,4300,,,2000,4270,2900,4300,2900,4300,,,,
Agrostis_odorata,Agrostis,Poaceae,H,,,,,NA,NA,,,,,,,,
Agrostis_pilosula,Agrostis,Poaceae,H,100,4880,,,1400,4880,2000,4600,2500,3500,1200,4000,1700,2500
Agrostis_sikkimensis,Agrostis,Poaceae,H,2300,2400,,,,,2300,2400,,,,,,
Agrostis_ushae,Agrostis,Poaceae,H,4545,4545,,,4545,4545,,,,,,,,
Agrostis_vinealis,Agrostis,Poaceae,H,2130,5000,,,2130,2190,,,4000,5000,,,,
Agrostophyllum_brevipes,Agrostophyllum,Orchidaceae,E,100,1800,1000,1800,100,1600,,,,,,,,
Agrostophyllum_callosum,Agrostophyllum,Orchidaceae,E,100,2300,1000,2000,600,2300,2100,2100,,,,,,
Agrostophyllum_myrianthum,Agrostophyllum,Orchidaceae,E,200,1700,200,500,200,1700,,,,,,,,
Agrostophyllum_planicaule,Agrostophyllum,Orchidaceae,E,500,2100,500,800,500,2100,,,,,,,,
Ailanthus_integrifolia,Ailanthus,Simaroubaceae,T,300,800,300,800,460,650,,,,,,,,
Ainsliaea_angustifolia,Ainsliaea,Asteraceae,H,100,2000,100,2000,,,,,,,,,,
Ainsliaea_aptera,Ainsliaea,Asteraceae,H,1200,4000,1200,3600,1200,3600,1600,3500,1981,4000,2000,2600,2600,2700
