"Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"Chail",2,"Rarefaction",0,240.060606060606,234.727889671738,245.393322449474,0.789027022360356,0.779338868901107,0.798715175819605
"Chail",3,"Rarefaction",0,277.086363636364,271.361768448479,282.810958824249,0.864856542634321,0.857389145291429,0.872323939977212
"Chail",4,"Rarefaction",0,300.80404040404,294.932191775148,306.675889032933,0.908024691358025,0.902044465878749,0.914004916837301
"Chail",5,"Rarefaction",0,316.945707070707,311.048362010587,322.843052130826,0.93528590750813,0.930222680542916,0.940349134473344
"Chail",6,"Rarefaction",0,328.30303030303,322.433271027554,334.172789578506,0.95366053699387,0.949155351259299,0.958165722728442
"Chail",7,"Rarefaction",0,336.435606060606,330.607128031182,342.264084090029,0.966601916601917,0.962388560983956,0.970815272219877
"Chail",8,"Rarefaction",0,342.29696969697,336.50058665871,348.093352735229,0.975999309332643,0.97185961476702,0.980139003898265
"Chail",9,"Rarefaction",0,346.509090909091,340.718122664338,352.300059153844,0.982957782957783,0.978729921835171,0.987185644080394
"Chail",10,"Rarefaction",0,349.5,343.670457397586,355.329542602415,0.988129154795821,0.983707093987753,0.99255121560389
"Chail",11,"Rarefaction",0,351.583333333333,345.653864196079,357.512802470588,0.991927825261159,0.987231348456967,0.996624302065351
"Chail",12,"Observed",0,353,346.894296786021,359.105703213979,0.994510921177588,0.989754643805002,0.999267198550173
"Chail",13,"Extrapolation",0,353.963333333333,347.599730462643,360.326936204023,0.99626742640076,0.991620018464063,1
"Chail",14,"Extrapolation",0,354.6184,347.929073386369,361.307726613631,0.997461849952517,0.993034292232986,1
"Chail",15,"Extrapolation",0,355.063845333333,348.003325351061,362.124365315605,0.998274057967711,0.9941314153947,1
"Chail",16,"Extrapolation",0,355.36674816,347.912119322232,362.821376997768,0.998826359418044,0.995000998975049,1
"Chail",17,"Extrapolation",0,355.572722082133,347.719700171958,363.425743992309,0.99920192440427,0.995704062839947,1
"Chail",18,"Extrapolation",0,355.712784349184,347.470720983637,363.954847714731,0.999457308594903,0.996282702124245,1
"Chail",19,"Extrapolation",0,355.808026690778,347.195353389252,364.420699992305,0.999630969844534,0.996766324128576,1
"Chail",20,"Extrapolation",0,355.872791483063,346.913404107013,364.832178859112,0.999749059494283,0.997175764884178,1
"Churdhar",1,"Rarefaction",0,304.111111111111,300.047754064042,308.174468158181,0.756409980872144,0.749591319175827,0.763228642568461
"Churdhar",2,"Rarefaction",0,378.18954248366,373.753050070924,382.626034896396,0.883410077586021,0.878858553902764,0.887961601269279
"Churdhar",3,"Rarefaction",0,413.645833333333,409.009719847383,418.281946819284,0.932438103118485,0.929199381846251,0.93567682439072
"Churdhar",4,"Rarefaction",0,434.192156862746,429.415641588215,438.968672137277,0.956346502795492,0.953825824814872,0.958867180776112
"Churdhar",5,"Rarefaction",0,447.467670401493,442.600523988406,452.334816814581,0.969751553975909,0.967646158968649,0.971856948983169
"Churdhar",6,"Rarefaction",0,456.666558931265,451.741465997279,461.591651865251,0.977972130225295,0.976126878003792,0.979817382446798
"Churdhar",7,"Rarefaction",0,463.36547888386,458.400426752,468.330531015721,0.983334224448637,0.981662485901569,0.985005962995705
"Churdhar",8,"Rarefaction",0,468.433726404315,463.437059448314,473.430393360316,0.986997920088036,0.98544604240301,0.988549797773062
"Churdhar",9,"Rarefaction",0,472.387803373097,467.361675668393,477.413931077802,0.989597471882713,0.988129687704794,0.991065256060633
"Churdhar",10,"Rarefaction",0,475.551327757211,470.493544037233,480.609111477189,0.991503278202165,0.990094891570791,0.992911664833538
"Churdhar",11,"Rarefaction",0,478.135275263951,473.040220131314,483.230330396588,0.99294170255157,0.991575677001522,0.994307728101617
"Churdhar",12,"Rarefaction",0,480.281781943547,475.140988731866,485.422575155228,0.994055284911525,0.992720201909834,0.995390367913216
"Churdhar",13,"Rarefaction",0,482.089635854341,476.892283453915,487.286988254768,0.994935723650074,0.993624095530349,0.996247351769798
"Churdhar",14,"Rarefaction",0,483.629738562092,478.363158592817,488.896318531367,0.995643308474285,0.994349740879704,0.996936876068866
"Churdhar",15,"Rarefaction",0,484.954656862745,479.604818790116,490.304494935375,0.996218756044617,0.994937833281177,0.997499678808058
"Churdhar",16,"Rarefaction",0,486.104575163399,480.656470285215,491.552680041582,0.996690236196781,0.995414274896897,0.997966197496664
"Churdhar",17,"Rarefaction",0,487.111111111111,481.548939810826,492.673282411396,0.997077091706248,0.99579405958609,0.998360123826405
"Churdhar",18,"Observed",0,488,482.30706616848,493.69293383152,0.997418730337985,0.996133063386894,0.998704397289076
"Churdhar",19,"Extrapolation",0,488.784992784993,482.945090222645,494.62489534734,0.997720437181597,0.996440307082384,0.99900056728081
"Churdhar",20,"Extrapolation",0,489.478233166545,483.476502712752,495.479963620338,0.997986879588943,0.996721122743907,0.999252636433979
